,Locality,Sponsored,Number of votes,Ratings_out_of_5,Charges_for_two,Cuisines,Wine and Beer,Vegetarian Only,Vegan Options,Sugar Free Options,Buffet
9585,Camp Area,Casual Dining,0,0.0,1000,"Bohri, Iranian, Kebab, Biryani, Chinese, North Indian, South Indian, Maharashtrian",0,0,0,0,0
9586,Bibvewadi,Quick Bites,5,3.1,300,North Indian,0,0,0,0,0
9587,Sadashiv Peth,Quick Bites,0,0.0,300,Maharashtrian,0,0,0,0,0
9588,Bibvewadi,Quick Bites,21,3.5,500,"Italian, Continental, Fast Food, Desserts, Beverages",0,1,0,0,0
9589,Bibvewadi,Quick Bites,5,3.1,250,Fast Food,0,1,0,0,0
9590,Katraj,Quick Bites,49,3.3,300,"Biryani, North Indian",0,0,0,0,0
9591,Wagholi,Quick Bites,0,0.0,400,"Fast Food, Beverages",0,1,0,0,0
9592,Baner,Quick Bites,156,3.9,550,"North Indian, Street Food, Chinese, Desserts",0,1,0,0,0
9593,Dange Chowk,Casual Dining,208,3.4,650,"North Indian, Mughlai, Chinese, Seafood",0,0,0,0,0
9594,Katraj,"Takeaway, Delivery",0,0.0,0,"Fast Food, Beverages",0,0,0,0,0
9595,Bibvewadi,Quick Bites,0,0.0,200,"South Indian, Street Food",0,0,0,0,0
9596,Wakad,Quick Bites,21,3.1,350,North Indian,0,0,0,0,0
9597,Bibvewadi,Quick Bites,0,0.0,400,"Maharashtrian, North Indian, Chinese",0,0,0,0,0
9598,Kothrud,Quick Bites,22,3.4,250,Biryani,0,0,0,0,0
9599,Camp Area,Quick Bites,0,0.0,300,Fast Food,0,0,0,0,0
9600,Bavdhan,Quick Bites,37,3.4,400,"Fast Food, Chinese",0,0,0,0,0
9601,Bhosari,Quick Bites,0,0.0,250,Fast Food,0,1,0,0,0
9602,Bibvewadi,Paan Shop,0,0.0,100,Paan,0,0,0,0,0
9603,Chinchwad,"Takeaway, Delivery",0,0.0,0,"North Indian, Chinese",0,0,0,0,0
9604,Pimple Nilakh,"Takeaway, Delivery",0,0.0,0,"North Indian, Chinese",0,0,0,0,0
9605,Hadapsar,Food Court,76,3.4,600,"Chinese, Thai",0,0,0,0,0
9606,NIBM Road,Quick Bites,0,0.0,400,"Seafood, Chinese",0,0,0,0,0
9607,Hinjawadi,Delivery,0,0.0,0,"North Indian, Chinese, Maharashtrian",0,0,0,0,0
9608,Bhosari,Quick Bites,0,0.0,350,"Maharashtrian, North Indian",0,0,0,0,0
9609,Wadgaon Sheri,Café,16,3.2,300,"Cafe, Beverages",0,0,0,0,0
9610,NIBM Road,Bakery,0,0.0,250,Bakery,0,0,0,0,0
9611,Erandwane,Dessert Parlor,0,0.0,200,Desserts,0,1,0,0,0
9612,Viman Nagar,Dessert Parlor,50,3.7,250,"Ice Cream, Desserts",0,1,0,1,0
9613,Pimple Saudagar,Quick Bites,36,4.0,200,"Beverages, Sandwich, Salad",0,0,0,0,0
9614,Pimple Saudagar,"Dessert Parlor, Quick Bites",0,0.0,500,"Desserts, Fast Food, Beverages",0,0,0,0,0
9615,Kondhwa,"Takeaway, Delivery",0,0.0,0,North Indian,0,0,0,0,0
9616,Old Mumbai-Pune Highway,"Casual Dining, Bar",4,2.9,2100,"North Indian, Finger Food",0,0,0,0,0
9617,Hinjawadi,Casual Dining,636,2.6,700,"North Indian, Chinese",0,0,0,0,0
9618,Bavdhan,Quick Bites,23,3.0,500,Chinese,0,0,0,0,0
9619,Magarpatta,"Dessert Parlor, Café",20,3.5,300,"Desserts, Cafe",0,0,0,0,0
9620,Sinhgad Road,Quick Bites,6,3.0,400,Rolls,0,0,0,0,0
9621,Kharadi,"Takeaway, Delivery",82,4.0,0,North Indian,0,0,0,0,0
9622,Pimpri,Quick Bites,10,3.1,300,"Chinese, North Indian",0,0,0,0,0
9623,Pimple Nilakh,Quick Bites,12,3.3,200,Chinese,0,0,0,0,0
9624,Kharadi,Food Court,52,3.3,300,North Indian,0,0,0,0,0
9625,Balewadi,Quick Bites,125,2.9,450,"North Indian, Chinese",0,0,0,0,0
9626,Wanowrie,"Takeaway, Delivery",5,3.0,0,Chinese,0,0,0,0,0
9627,Dhole Patil Road,Dessert Parlor,12,3.2,200,"Ice Cream, Desserts",0,1,0,0,0
9628,Hinjawadi,Casual Dining,5,3.2,500,"North Indian, South Indian, Chinese",0,1,0,0,0
9629,Hinjawadi,Casual Dining,5,3.2,500,"North Indian, South Indian, Chinese",0,1,0,0,0
9630,Kondhwa,Delivery,0,0.0,0,"Chinese, Thai",0,0,0,0,0
9631,Pimple Saudagar,Quick Bites,11,3.2,150,"Fast Food, Beverages",0,0,0,0,0
9632,Chinchwad,"Takeaway, Delivery",9,3.2,0,Fast Food,0,0,0,0,0
9633,Kalyani Nagar,Quick Bites,0,0.0,550,"Fast Food, Mexican, Beverages",0,0,0,0,0
9634,Kothrud,"Dessert Parlor, Quick Bites",8,3.2,250,"Ice Cream, Desserts, Fast Food",0,1,0,0,0
9635,Sinhgad Road,Casual Dining,28,2.9,300,"North Indian, Chinese",0,0,0,0,0
9636,Chakan,Casual Dining,6,2.9,500,Maharashtrian,0,0,0,0,0
9637,Sinhgad Road,Casual Dining,36,3.9,750,"North Indian, Maharashtrian, Chinese, Fast Food, Beverages",0,0,0,0,0
9638,Wadgaon Sheri,Takeaway,8,3.2,0,"North Indian, Maharashtrian, Chinese",0,0,0,0,0
9639,Wadgaon Sheri,Delivery,12,3.4,0,North Indian,0,0,0,0,0
9640,Kondhwa,Quick Bites,4,3.1,400,"Chinese, North Indian, Mughlai",0,0,0,0,0
9641,Wagholi,Dessert Parlor,50,3.8,150,"Ice Cream, Desserts",0,1,0,0,0
9642,Hinjawadi,"Casual Dining, Bar",0,0.0,800,"North Indian, Chinese, Continental, Bar Food, Beverages",0,0,0,0,0
9643,Wadgaon Sheri,"Takeaway, Delivery",13,3.4,0,"North Indian, Chinese",0,0,0,0,0
9644,Wakad,Delivery,0,0.0,0,Healthy Food,0,0,1,0,0
9645,Budhwar Peth,Quick Bites,94,3.8,150,Fast Food,0,1,0,0,0
9646,KP and Kalyani,Delivery,7,3.1,0,Fast Food,0,0,0,0,0
9647,Baner,Quick Bites,12,3.3,300,"Bakery, Fast Food",0,0,0,0,0
9648,Wakad,Delivery,0,0.0,0,South Indian,0,0,0,0,0
9649,Warje,Quick Bites,0,0.0,400,"Chinese, North Indian, Maharashtrian",0,0,0,0,0
9650,Karve Nagar,Quick Bites,0,0.0,200,"North Indian, South Indian",0,1,0,0,0
9651,Kharadi,Casual Dining,28,3.4,450,"Maharashtrian, North Indian, Chinese",0,0,0,0,0
9652,Wakad,Quick Bites,0,0.0,150,Street Food,0,1,0,0,0
9653,Sinhgad Road,Quick Bites,7,2.9,200,Chinese,0,0,0,0,0
9654,Katraj,Casual Dining,0,0.0,450,"North Indian, Biryani, Mughlai",0,0,0,0,0
9655,Katraj,Mess,23,2.7,150,Maharashtrian,0,1,0,0,0
9656,Karve Nagar,Dessert Parlor,0,0.0,200,"Ice Cream, Desserts",0,1,0,0,0
9657,Tilak Road,Quick Bites,0,0.0,500,"Fast Food, North Indian, Chinese, Beverages",0,1,0,0,0
9658,Kharadi,Delivery,0,0.0,0,Chinese,0,0,0,0,0
9659,Vishrantwadi,"Takeaway, Delivery",0,0.0,0,"Momos, Fast Food",0,0,0,0,0
9660,Wadgaon Sheri,Quick Bites,0,0.0,150,Street Food,0,0,0,0,0
9661,Hinjawadi,"Takeaway, Delivery",0,0.0,0,Rajasthani,0,0,0,0,0
9662,Magarpatta,Quick Bites,0,0.0,200,Street Food,0,0,0,0,0
9663,Wadgaon Sheri,Quick Bites,0,0.0,200,South Indian,0,0,0,0,0
9664,Hadapsar,"Takeaway, Delivery",0,0.0,0,Chinese,0,0,0,0,0
9665,Kondhwa,Quick Bites,0,0.0,150,Street Food,0,0,0,0,0
9666,Lonavala,Quick Bites,0,0.0,450,"Fast Food, North Indian, Malwani, Chinese",0,0,0,0,0
9667,Lohegaon,Delivery,0,0.0,0,"North Indian, Fast Food",0,0,0,0,0
9668,Katraj,Quick Bites,0,0.0,150,"South Indian, Fast Food",0,0,0,0,0
9669,Hinjawadi,"Takeaway, Delivery",0,0.0,0,Street Food,0,0,0,0,0
9670,Koregaon Park,"Takeaway, Delivery",0,0.0,0,North Indian,0,0,0,0,0
9671,Kharadi,"Takeaway, Delivery",0,0.0,0,"North Indian, Street Food",0,0,0,0,0
9672,Karve Nagar,Delivery,0,0.0,0,Chinese,0,0,0,0,0
9673,Kharadi,Delivery,0,0.0,0,"Chinese, Fast Food",0,0,0,0,0
9674,Old Mumbai-Pune Highway,Quick Bites,0,0.0,300,"Maharashtrian, North Indian",0,0,0,0,0
9675,Bavdhan,Quick Bites,0,0.0,300,"Street Food, Fast Food, Rolls, Beverages",0,0,0,0,0
9676,Erandwane,Quick Bites,0,0.0,200,Fast Food,0,0,0,0,0
9677,Kharadi,"Takeaway, Delivery",0,0.0,0,Street Food,0,0,0,0,0
9678,Kharadi,Quick Bites,0,0.0,350,"North Indian, Chinese, Fast Food",0,0,0,0,0
9679,Rasta Peth,Quick Bites,0,0.0,200,North Indian,0,0,0,0,0
9680,Katraj,Quick Bites,0,0.0,200,North Indian,0,0,0,0,0
9681,Hadapsar,Quick Bites,0,0.0,300,Pizza,0,1,0,0,0
9682,Hadapsar,Quick Bites,0,0.0,200,"Chinese, South Indian",0,0,0,0,0
9683,Kharadi,"Takeaway, Delivery",0,0.0,0,"Biryani, Kebab",0,0,0,0,0
9684,Viman Nagar,Quick Bites,4,3.1,300,Chinese,0,0,0,0,0
9685,Tilak Road,Casual Dining,0,0.0,800,"Maharashtrian, Fast Food",0,0,0,0,0
9686,Ravet,"Sweet Shop, Quick Bites",0,0.0,150,"Mithai, Street Food",0,0,0,0,0
9687,Wakad,Quick Bites,0,0.0,400,"North Indian, Mughlai, Chinese",0,0,0,0,0
9688,Wanowrie Kondhwa Area,Delivery,0,0.0,0,Fast Food,0,0,0,0,0
9689,Pimpri,Quick Bites,0,0.0,300,North Indian,0,0,0,0,0
9690,Kharadi,Quick Bites,0,0.0,300,Chinese,0,0,0,0,0
9691,Magarpatta,Quick Bites,0,0.0,650,Chinese,0,0,0,0,0
9692,Bhosari,Quick Bites,0,0.0,350,"Street Food, South Indian, North Indian",0,1,0,0,0
9693,Kothrud,Delivery,0,0.0,0,"Biryani, Gujarati",0,0,0,0,0
9694,Mundhwa,Quick Bites,5,3.2,400,North Indian,0,0,0,0,0
9695,Aundh,"Takeaway, Delivery",35,3.6,0,Fast Food,0,0,0,0,0
9696,Pimpri,Quick Bites,4,3.1,450,North Indian,0,0,0,0,0
9697,Pimple Saudagar,Quick Bites,0,0.0,250,"Street Food, North Indian",0,0,0,0,0
9698,Kondhwa,Quick Bites,0,0.0,300,Fast Food,0,0,0,0,0
9699,Katraj,Delivery,0,0.0,0,Fast Food,0,0,0,0,0
9700,Aundh,Dessert Parlor,0,0.0,110,Desserts,0,0,0,0,0
9701,Budhwar Peth,Takeaway,0,0.0,0,North Indian,0,0,0,0,0
9702,Baner,"Casual Dining, Bar",0,0.0,1000,"North Indian, Continental",0,0,0,0,0
9703,Lohegaon,Quick Bites,14,3.3,400,Maharashtrian,0,1,0,0,0
9704,Dhanori,Quick Bites,6,3.1,400,"North Indian, Chinese",0,0,0,0,0
9705,Senapati Bapat Road,"Takeaway, Delivery",7,3.2,0,"Fast Food, Beverages",0,0,0,0,0
9706,Kothrud,Quick Bites,0,0.0,300,"North Indian, Chinese",0,0,0,0,0
9707,Around Pune,Delivery,0,0.0,0,"Fast Food, Pizza",0,0,0,0,0
9708,NIBM Road,Bakery,0,0.0,150,"Bakery, Fast Food",0,0,0,0,0
9709,NIBM Road,"Takeaway, Delivery",0,0.0,0,"North Indian, Fast Food",0,0,0,0,0
9710,Katraj,"Takeaway, Delivery",0,0.0,0,"North Indian, Maharashtrian",0,0,0,0,0
9711,Wagholi,"Takeaway, Delivery",0,0.0,0,Fast Food,0,0,0,0,0
9712,Pimpri Chinchwad Area,Delivery,0,0.0,0,Salad,0,0,0,0,0
9713,NIBM Road,Quick Bites,0,0.0,50,Maharashtrian,0,1,0,0,0
9714,Lonavala,Quick Bites,0,0.0,400,Gujarati,0,1,0,0,0
9715,Around Pune,Delivery,0,0.0,0,Beverages,0,0,0,0,0
9716,Katraj,Delivery,0,0.0,0,Fast Food,0,0,0,0,0
9717,Wanowrie,Delivery,0,0.0,0,"Biryani, Fast Food",0,0,0,0,0
9718,Nigdi,Quick Bites,0,0.0,300,Chinese,0,0,0,0,0
9719,Katraj,Quick Bites,0,0.0,350,Biryani,0,0,0,0,0
9720,Hadapsar,Takeaway,0,0.0,0,Maharashtrian,0,0,0,0,0
9721,Mundhwa,Delivery,0,0.0,0,Biryani,0,0,0,0,0
9722,Dhankawadi,Casual Dining,0,0.0,550,"North Indian, Chinese, Maharashtrian",0,0,0,0,0
9723,Lonavala,Quick Bites,0,0.0,350,Chinese,0,0,0,0,0
9724,Lonavala,Quick Bites,0,0.0,250,"Street Food, South Indian",0,1,0,0,0
9725,Lonavala,Quick Bites,0,0.0,300,North Indian,0,0,0,0,0
9726,Lohegaon,Quick Bites,0,0.0,300,Chinese,0,0,0,0,0
9727,Mahalunge,Quick Bites,0,0.0,250,Chinese,0,0,0,0,0
9728,Chinchwad,Food Court,4,3.0,400,"Fast Food, Beverages",0,0,0,0,0
9729,Wakad,Quick Bites,0,0.0,150,"Rolls, Fast Food",0,0,0,0,0
9730,KP and Kalyani,Delivery,0,0.0,0,Maharashtrian,0,0,0,0,0
9731,Chinchwad,Delivery,0,0.0,0,North Indian,0,0,0,0,0
9732,Pashan,Takeaway,0,0.0,0,"Biryani, Maharashtrian",0,0,0,0,0
9733,Kothrud,Quick Bites,5,3.1,100,Street Food,0,0,0,0,0
9734,Narhe,Quick Bites,0,0.0,200,Fast Food,0,0,0,0,0
9735,Akurdi,"Takeaway, Delivery",0,0.0,0,North Indian,0,0,0,0,0
9736,Lonavala,Quick Bites,0,0.0,300,North Indian,0,1,0,0,0
9737,Narhe,Quick Bites,0,0.0,400,"North Indian, Chinese",0,0,0,0,0
9738,Ravet,Café,0,0.0,200,"Cafe, Fast Food",0,0,0,0,0
9739,Karve Nagar,"Takeaway, Delivery",0,0.0,0,North Indian,0,0,0,0,0
9740,Kothrud Area,Takeaway,0,0.0,0,Chinese,0,0,0,0,0
9741,Akurdi,Casual Dining,0,0.0,250,Maharashtrian,0,0,0,0,0
9742,Balewadi,Quick Bites,0,0.0,250,Maharashtrian,0,0,0,0,0
9743,Wanowrie Kondhwa Area,Delivery,0,0.0,0,North Indian,0,0,0,0,0
9744,Talegaon,Quick Bites,0,0.0,300,Chinese,0,0,0,0,0
9745,Lohegaon,Quick Bites,0,0.0,450,"Maharashtrian, North Indian, South Indian",0,0,0,0,0
9746,Wakad,Quick Bites,0,0.0,250,Biryani,0,0,0,0,0
9747,Nigdi,Takeaway,0,0.0,0,Biryani,0,0,0,0,0
9748,Lohegaon,Quick Bites,0,0.0,150,"North Indian, Biryani",0,0,0,0,0
9749,Narhe,Quick Bites,0,0.0,300,Biryani,0,0,0,0,0
9750,Hinjawadi,"Casual Dining, Bar",0,0.0,1200,"Continental, North Indian, Chinese, Italian, Beverages",0,0,0,0,0
9751,Bavdhan,Takeaway,0,0.0,0,Maharashtrian,0,0,0,0,0
9752,Hinjawadi,Quick Bites,0,0.0,250,Lebanese,0,0,0,0,0
9753,Dange Chowk,"Takeaway, Delivery",0,0.0,0,North Indian,0,0,0,0,0
9754,Sinhgad Road,Quick Bites,0,0.0,200,Street Food,0,0,0,0,0
9755,Karve Nagar,Café,0,0.0,200,Cafe,0,1,0,0,0
9756,Hadapsar,Quick Bites,34,3.6,750,"North Indian, Maharashtrian, Chinese",0,1,0,0,0
9757,Kothrud,"Takeaway, Delivery",10,3.6,0,"Maharashtrian, Mithai",0,0,0,0,0
9758,Wakad,Delivery,0,0.0,0,Biryani,0,0,0,0,0
9759,Kharadi,"Takeaway, Delivery",0,0.0,0,"North Indian, Tex-Mex",0,0,0,0,0
9760,Mundhwa,Delivery,0,0.0,0,"North Indian, Chinese",0,0,0,0,0
9761,Akurdi,Sweet Shop,0,0.0,150,Mithai,0,0,0,0,0
9762,Viman Nagar,"Takeaway, Delivery",0,0.0,0,Tibetan,0,0,0,0,0
9763,Wagholi,Quick Bites,9,3.2,300,Chinese,0,0,0,0,0
9764,Wanowrie Kondhwa Area,Delivery,0,0.0,0,American,0,0,0,0,0
9765,Akurdi,Quick Bites,0,0.0,300,"Biryani, North Indian",0,0,0,0,0
9766,Wakad,Paan Shop,0,0.0,100,Paan,0,0,0,0,0
9767,Wagholi,Quick Bites,4,3.1,150,South Indian,0,0,0,0,0
9768,Dange Chowk,Quick Bites,0,0.0,300,North Indian,0,0,0,0,0
9769,Hadapsar,Quick Bites,0,0.0,300,"North Indian, Biryani",0,0,0,0,0
9770,Kondhwa,Quick Bites,0,0.0,50,Street Food,0,0,0,0,0
9771,Khadki,Quick Bites,0,0.0,400,"Maharashtrian, Chinese",0,0,0,0,0
9772,Bavdhan,Delivery,4,3.1,0,"Maharashtrian, Biryani",0,0,0,0,0
9773,Vishrantwadi,Quick Bites,0,0.0,300,North Indian,0,0,0,0,0
9774,Sinhgad Road,Quick Bites,0,0.0,300,"Chinese, North Indian",0,0,0,0,0
9775,Dange Chowk,Quick Bites,0,0.0,250,Chinese,0,0,0,0,0
9776,KP and Kalyani,Delivery,0,0.0,0,"Middle Eastern, Lebanese, Greek, Mediterranean, Fast Food",0,0,0,0,0
9777,Hinjawadi,Quick Bites,0,0.0,250,South Indian,0,0,0,0,0
9778,Pimple Gurav,Quick Bites,0,0.0,150,Street Food,0,0,0,0,0
9779,Talegaon,Quick Bites,0,0.0,150,"Street Food, Fast Food, Beverages",0,0,0,0,0
9780,Pimpri,Café,0,0.0,300,"Cafe, Fast Food",0,0,0,0,0
9781,Wagholi,Quick Bites,0,0.0,450,"Fast Food, Beverages",0,0,0,0,0
9782,Camp Area,Food Court,0,0.0,350,Fast Food,0,0,0,0,0
9783,Wanowrie,Quick Bites,0,0.0,200,North Indian,0,0,0,0,0
9784,Baner,Kiosk,0,0.0,200,Street Food,0,0,0,0,0
9785,Bhosari,Quick Bites,0,0.0,250,"South Indian, Street Food",0,1,0,0,0
9786,Dhankawadi,Quick Bites,0,0.0,300,"Fast Food, Biryani",0,0,0,0,0
9787,Magarpatta,Quick Bites,0,0.0,200,"Street Food, North Indian",0,0,0,0,0
9788,Wadgaon Sheri,Delivery,0,0.0,0,"North Indian, Chinese, Hyderabadi",0,0,0,0,0
9789,Hadapsar,"Takeaway, Delivery",0,0.0,0,North Indian,0,0,0,0,0
9790,Pimpri,Quick Bites,0,0.0,200,"Fast Food, Street Food, Beverages",0,0,0,0,0
9791,Lohegaon,"Takeaway, Delivery",0,0.0,0,North Indian,0,0,0,0,0
9792,Bhosari,Quick Bites,0,0.0,350,North Indian,0,0,0,0,0
9793,Camp Area,Delivery,0,0.0,0,"Biryani, Fast Food, North Indian",0,0,0,0,0
9794,Baner,Delivery,0,0.0,0,"Fast Food, Healthy Food",0,0,0,0,0
9795,Lohegaon,Delivery,0,0.0,0,"North Indian, Biryani",0,0,0,0,0
9796,Narhe,Bakery,0,0.0,300,Bakery,0,0,0,0,0
9797,Wakad,Delivery,0,0.0,0,North Indian,0,1,0,0,0
9798,Baner,Delivery,0,0.0,0,"Biryani, Fast Food",0,0,0,0,0
9799,Wadgaon Sheri,Delivery,0,0.0,0,"Chinese, North Indian, Mughlai",0,0,0,0,0
9800,Wagholi,Quick Bites,0,0.0,200,"South Indian, Chinese, Street Food",0,0,0,0,0
9801,Narhe,Quick Bites,0,0.0,150,South Indian,0,0,0,0,0
9802,Narhe,Quick Bites,0,0.0,400,"North Indian, Beverages",0,0,0,0,0
9803,Kharadi,"Takeaway, Delivery",0,0.0,0,Chinese,0,0,0,0,0
9804,Wakad,Quick Bites,0,0.0,200,Biryani,0,0,0,0,0
9805,Wagholi,Quick Bites,0,0.0,250,North Indian,0,1,0,0,0
9806,Narhe,Quick Bites,0,0.0,300,Maharashtrian,0,0,0,0,0
9807,Lonavala,Casual Dining,0,0.0,650,"North Indian, Chinese, South Indian",0,1,0,0,0
9808,Dhanori,"Takeaway, Delivery",0,0.0,0,Biryani,0,0,0,0,0
9809,Lohegaon,Quick Bites,0,0.0,100,Maharashtrian,0,0,0,0,0
9810,Hinjawadi,Delivery,0,0.0,0,Sandwich,0,0,0,0,0
9811,Rasta Peth,Quick Bites,0,0.0,300,Maharashtrian,0,0,0,0,0
9812,Talegaon,Quick Bites,0,0.0,350,North Indian,0,0,0,0,0
9813,Swargate,Quick Bites,0,0.0,350,"Fast Food, Street Food, Beverages",0,0,0,0,0
9814,Pimpri,Bakery,0,0.0,300,Bakery,0,0,0,0,0
9815,Wagholi,Delivery,0,0.0,0,"Fast Food, Street Food, Beverages",0,0,0,0,0
9816,Wagholi,Quick Bites,0,0.0,200,North Indian,0,1,0,0,0
9817,Pimple Nilakh,"Takeaway, Delivery",0,0.0,0,"North Indian, Chinese, Biryani, Seafood",0,0,0,0,0
9818,Lohegaon,"Takeaway, Delivery",0,0.0,0,Chinese,0,0,0,0,0
9819,Bhosari,Paan Shop,0,0.0,150,Paan,0,0,0,0,0
9820,Nigdi,Delivery,0,0.0,0,Fast Food,0,0,0,0,0
9821,Bhosari,"Takeaway, Delivery",0,0.0,0,"North Indian, Maharashtrian",0,0,0,0,0
9822,Wagholi,Quick Bites,0,0.0,200,"Biryani, Kebab",0,0,0,0,0
9823,Chinchwad,Takeaway,0,0.0,0,Maharashtrian,0,0,0,0,0
9824,Wagholi,Quick Bites,0,0.0,350,"Pizza, Fast Food, Beverages",0,0,0,0,0
9825,Narhe,"Takeaway, Delivery",0,0.0,0,Fast Food,0,0,0,0,0
9826,Narhe,"Takeaway, Delivery",0,0.0,0,"Fast Food, Maharashtrian, North Indian",0,1,0,0,0
9827,Viman Nagar,Delivery,0,0.0,0,North Indian,0,0,0,0,0
9828,Dhankawadi,Delivery,0,0.0,0,South Indian,0,0,0,0,0
9829,Pimple Saudagar,"Takeaway, Delivery",0,0.0,0,"North Indian, Biryani",0,0,0,0,0
9830,Hadapsar,Quick Bites,0,0.0,500,"North Indian, Chinese, Hyderabadi, Mughlai",0,0,0,0,0
9831,Wagholi,Delivery,0,0.0,0,"Pizza, Fast Food",0,0,0,0,0
9832,Narhe,Quick Bites,0,0.0,150,"North Indian, Street Food",0,0,0,0,0
9833,Hadapsar,Delivery,0,0.0,0,"Fast Food, Ice Cream, Sandwich",0,0,0,0,0
9834,Lohegaon,Delivery,0,0.0,0,Chinese,0,0,0,0,0
9835,Wagholi,"Takeaway, Delivery",0,0.0,0,North Indian,0,0,0,0,0
9836,Bhosari,Quick Bites,0,0.0,100,"Coffee, Continental, Fast Food, Ice Cream, Maharashtrian",0,1,0,0,0
9837,Deccan & Peths,Delivery,0,0.0,0,"North Indian, Chinese",0,0,0,0,0
9838,Chinchwad,Quick Bites,0,0.0,150,Fast Food,0,0,0,0,0
9839,Dhankawadi,"Takeaway, Delivery",0,0.0,0,Maharashtrian,0,0,0,0,0
9840,Pimple Nilakh,Delivery,0,0.0,0,North Indian,0,1,0,0,0
9841,Pimple Nilakh,"Takeaway, Delivery",0,0.0,0,North Indian,0,0,0,0,0
9842,Yerawada,Delivery,0,0.0,0,"North Indian, Chinese, Beverages",0,0,0,0,0
9843,Yerawada,Delivery,0,0.0,0,"Beverages, Fast Food",0,0,0,0,0
9844,Baner,Quick Bites,0,0.0,100,"Maharashtrian, South Indian",0,1,0,0,0
9845,Lohegaon,Delivery,0,0.0,0,Chinese,0,0,0,0,0
9846,SB Road - Aundh,Delivery,0,0.0,0,"North Indian, Chinese",0,0,0,0,0
9847,Pimple Saudagar,"Takeaway, Delivery",0,0.0,0,Fast Food,0,0,0,0,0
9848,Bund Garden Road,Quick Bites,0,0.0,500,"Continental, Fast Food, Goan, Healthy Food, Juices, Maharashtrian, Salad, Sandwich",0,0,0,0,1
9849,Wakad,Sweet Shop,0,0.0,150,Desserts,0,1,0,0,0
9850,Hadapsar,Delivery,0,0.0,0,Chinese,0,0,0,0,0
9851,Chandan Nagar,"Takeaway, Delivery",0,0.0,0,"North Indian, South Indian, Rolls",0,0,0,0,0
9852,Wagholi,Delivery,0,0.0,0,"Pizza, Burger, Sandwich",0,0,0,0,0
9853,Hadapsar,Quick Bites,0,0.0,150,Street Food,0,0,0,0,0
9854,Hadapsar,Quick Bites,0,0.0,300,Chinese,0,0,0,0,0
9855,Hadapsar,Quick Bites,0,0.0,300,"Biryani, Rolls, Fast Food",0,0,0,0,0
9856,Aundh,Delivery,0,0.0,0,"North Indian, Chinese",0,0,0,0,0
9857,Kothrud,Casual Dining,0,0.0,600,"Maharashtrian, North Indian, South Indian",0,0,0,0,0
9858,Lohegaon,Delivery,0,0.0,0,Chinese,0,0,0,0,0
9859,Lohegaon,Quick Bites,0,0.0,300,Fast Food,0,0,0,0,0
9860,Narhe,Quick Bites,0,0.0,200,"Fast Food, Sandwich",0,0,0,0,0
9861,Katraj,Quick Bites,0,0.0,200,North Indian,0,0,0,0,0
9862,Pune-Solapur Road,Quick Bites,0,0.0,250,North Indian,0,0,0,0,0
9863,Hadapsar,Quick Bites,0,0.0,300,"North Indian, Chinese",0,0,0,0,0
9864,Shivane,"Takeaway, Delivery",0,0.0,0,Street Food,0,0,0,0,0
9865,Budhwar Peth,Quick Bites,0,0.0,300,Maharashtrian,0,0,0,0,0
9866,Hadapsar,Quick Bites,0,0.0,200,"Fast Food, Chinese, Beverages",0,0,0,0,0
9867,NIBM Road,Paan Shop,0,0.0,100,Paan,0,0,0,0,0
9868,Chinchwad,Quick Bites,0,0.0,200,"North Indian, Chinese, Maharashtrian",0,1,0,0,0
9869,Hinjawadi,"Takeaway, Delivery",0,0.0,0,"North Indian, Chinese, Mughlai, Biryani",0,0,0,0,0
9870,Kothrud,Quick Bites,0,0.0,100,Burger,0,0,0,0,0
9871,Kothrud,Quick Bites,0,0.0,100,"South Indian, Beverages",0,1,0,0,0
9872,Hadapsar,Quick Bites,0,0.0,200,"North Indian, Fast Food, Mithai",0,0,0,0,0
9873,Kharadi,Quick Bites,0,0.0,200,"North Indian, Fast Food, Street Food",0,0,0,0,0
9874,Nigdi,Quick Bites,0,0.0,200,"Fast Food, Beverages",0,0,0,0,0
9875,Wanowrie Kondhwa Area,Delivery,0,0.0,0,"Biryani, North Indian, Beverages",0,0,0,0,0
9876,Baner,Quick Bites,0,0.0,300,Chinese,0,0,0,0,0
9877,Sinhgad Road,Café,0,0.0,400,"Cafe, Chinese, Continental, Fast Food",0,0,0,0,0
9878,Hadapsar,Quick Bites,0,0.0,300,Fast Food,0,0,0,0,0
9879,Shivane,Quick Bites,0,0.0,200,Fast Food,0,1,0,0,0
9880,Bhosari,Casual Dining,0,0.0,400,"Maharashtrian, North Indian",0,0,0,0,0
9881,Kondhwa,Paan Shop,0,0.0,100,Paan,0,0,0,0,0
9882,Wagholi,Quick Bites,0,0.0,350,"Chinese, Fast Food",0,0,0,0,0
9883,Pimpri,Quick Bites,0,0.0,200,"Biryani, Fast Food",0,0,0,0,0
9884,Nigdi,Quick Bites,0,0.0,300,"Desserts, Fast Food",0,0,0,0,0
9885,Pimpri,Quick Bites,0,0.0,300,"North Indian, Chinese",0,0,0,0,0
9886,Bhosari,Quick Bites,0,0.0,500,"Chinese, Maharashtrian, North Indian, Mughlai, Fast Food",0,0,0,0,0
9887,Balewadi,Quick Bites,0,0.0,200,"Chinese, North Indian",0,0,0,0,0
9888,Satara Road,Quick Bites,0,0.0,200,"North Indian, Street Food, Beverages",0,0,0,0,0
